region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV sales,Cars,BEV,2011,sales,49
Australia,Historical,EV sales,Cars,BEV,2012,sales,170
Australia,Historical,EV sales,Cars,PHEV,2012,sales,80
Australia,Historical,EV sales,Cars,PHEV,2013,sales,100
Australia,Historical,EV sales,Cars,BEV,2013,sales,190
Australia,Historical,EV sales,Cars,BEV,2014,sales,370
Australia,Historical,EV sales,Cars,PHEV,2014,sales,950
Australia,Historical,EV sales,Cars,PHEV,2015,sales,1000
Australia,Historical,EV sales,Cars,BEV,2015,sales,760
Australia,Historical,EV sales,Cars,BEV,2016,sales,670
Australia,Historical,EV sales,Cars,PHEV,2016,sales,700
Australia,Historical,EV sales,Cars,PHEV,2017,sales,1100
Australia,Historical,EV sales,Cars,BEV,2017,sales,1200
Australia,Historical,EV sales,Cars,BEV,2018,sales,1800
Australia,Historical,EV sales,Cars,PHEV,2018,sales,1800
Australia,Historical,EV sales,Cars,PHEV,2019,sales,2900
Australia,Historical,EV sales,Cars,BEV,2019,sales,6300
Australia,Historical,EV sales,Cars,BEV,2020,sales,5200
Australia,Historical,EV sales,Cars,PHEV,2020,sales,1700
Australia,Historical,EV sales,Cars,PHEV,2021,sales,3400
Australia,Historical,EV sales,Cars,BEV,2021,sales,17000
Belgium,Historical,EV sales,Cars,BEV,2010,sales,35
Belgium,Historical,EV sales,Cars,BEV,2011,sales,280
Belgium,Historical,EV sales,Cars,PHEV,2011,sales,16
Belgium,Historical,EV sales,Cars,PHEV,2012,sales,260
Belgium,Historical,EV sales,Cars,BEV,2012,sales,1000
Belgium,Historical,EV sales,Cars,BEV,2013,sales,610
Belgium,Historical,EV sales,Cars,PHEV,2013,sales,60
Belgium,Historical,EV sales,Cars,PHEV,2014,sales,650
Belgium,Historical,EV sales,Cars,BEV,2014,sales,1400
Belgium,Historical,EV sales,Cars,BEV,2015,sales,1700
Belgium,Historical,EV sales,Cars,PHEV,2015,sales,2200
Belgium,Historical,EV sales,Cars,PHEV,2016,sales,7100
Belgium,Historical,EV sales,Cars,BEV,2016,sales,2300
Belgium,Historical,EV sales,Cars,BEV,2017,sales,3000
Belgium,Historical,EV sales,Cars,PHEV,2017,sales,12000
Belgium,Historical,EV sales,Cars,PHEV,2018,sales,9400
Belgium,Historical,EV sales,Cars,BEV,2018,sales,4200
Belgium,Historical,EV sales,Cars,BEV,2019,sales,8900
Belgium,Historical,EV sales,Cars,PHEV,2019,sales,8800
Belgium,Historical,EV sales,Cars,PHEV,2020,sales,33000
Belgium,Historical,EV sales,Cars,BEV,2020,sales,15000
Belgium,Historical,EV sales,Cars,BEV,2021,sales,22000
Belgium,Historical,EV sales,Cars,PHEV,2021,sales,48000
Brazil,Historical,EV sales,Cars,BEV,2012,sales,74
Brazil,Historical,EV sales,Cars,PHEV,2012,sales,18
Brazil,Historical,EV sales,Cars,PHEV,2013,sales,33
Brazil,Historical,EV sales,Cars,BEV,2013,sales,130
Brazil,Historical,EV sales,Cars,BEV,2014,sales,61
Brazil,Historical,EV sales,Cars,PHEV,2015,sales,28
Brazil,Historical,EV sales,Cars,BEV,2015,sales,59
Brazil,Historical,EV sales,Cars,BEV,2016,sales,130
Brazil,Historical,EV sales,Cars,PHEV,2016,sales,47
Brazil,Historical,EV sales,Cars,PHEV,2017,sales,290
Brazil,Historical,EV sales,Cars,BEV,2017,sales,28
Brazil,Historical,EV sales,Cars,BEV,2018,sales,71
Brazil,Historical,EV sales,Cars,PHEV,2018,sales,230
Brazil,Historical,EV sales,Cars,PHEV,2019,sales,1400
Brazil,Historical,EV sales,Cars,BEV,2019,sales,540
Brazil,Historical,EV sales,Cars,BEV,2020,sales,680
Brazil,Historical,EV sales,Cars,PHEV,2020,sales,1800
Brazil,Historical,EV sales,Cars,PHEV,2021,sales,5200
Brazil,Historical,EV sales,Cars,BEV,2021,sales,2000
Canada,Historical,EV sales,Cars,PHEV,2011,sales,300
Canada,Historical,EV sales,Cars,BEV,2011,sales,220
Canada,Historical,EV sales,Cars,BEV,2012,sales,620
Canada,Historical,EV sales,Cars,PHEV,2012,sales,1400
Canada,Historical,EV sales,Cars,PHEV,2013,sales,1500
Canada,Historical,EV sales,Cars,BEV,2013,sales,1600
Canada,Historical,EV sales,Cars,BEV,2014,sales,2800
Canada,Historical,EV sales,Cars,PHEV,2014,sales,2200
Canada,Historical,EV sales,Cars,PHEV,2015,sales,2600
Canada,Historical,EV sales,Cars,BEV,2015,sales,4400
Canada,Historical,EV sales,Cars,BEV,2016,sales,5200
Canada,Historical,EV sales,Cars,PHEV,2016,sales,6400
Canada,Historical,EV sales,Cars,PHEV,2017,sales,8000
Canada,Historical,EV sales,Cars,BEV,2017,sales,8700
Canada,Historical,EV sales,Cars,BEV,2018,sales,23000
Canada,Historical,EV sales,Cars,PHEV,2018,sales,21000
Canada,Historical,EV sales,Cars,PHEV,2019,sales,19000
Canada,Historical,EV sales,Cars,BEV,2019,sales,32000
Canada,Historical,EV sales,Cars,BEV,2020,sales,37000
Canada,Historical,EV sales,Cars,PHEV,2020,sales,14000
Canada,Historical,EV sales,Cars,PHEV,2021,sales,28000
Canada,Historical,EV sales,Cars,BEV,2021,sales,59000
Chile,Historical,EV sales,Cars,BEV,2011,sales,6
Chile,Historical,EV sales,Cars,BEV,2012,sales,5
Chile,Historical,EV sales,Cars,BEV,2013,sales,5
Chile,Historical,EV sales,Cars,BEV,2014,sales,3
Chile,Historical,EV sales,Cars,PHEV,2014,sales,14
Chile,Historical,EV sales,Cars,PHEV,2015,sales,23
Chile,Historical,EV sales,Cars,BEV,2015,sales,13
Chile,Historical,EV sales,Cars,BEV,2016,sales,22
Chile,Historical,EV sales,Cars,PHEV,2016,sales,9
Chile,Historical,EV sales,Cars,PHEV,2017,sales,15
Chile,Historical,EV sales,Cars,BEV,2017,sales,120
Chile,Historical,EV sales,Cars,BEV,2018,sales,110
Chile,Historical,EV sales,Cars,PHEV,2018,sales,68
Chile,Historical,EV sales,Cars,PHEV,2019,sales,140
Chile,Historical,EV sales,Cars,BEV,2019,sales,160
Chile,Historical,EV sales,Cars,BEV,2020,sales,110
Chile,Historical,EV sales,Cars,PHEV,2020,sales,79
Chile,Historical,EV sales,Cars,PHEV,2021,sales,300
Chile,Historical,EV sales,Cars,BEV,2021,sales,270
China,Historical,EV sales,Cars,BEV,2010,sales,1100
China,Historical,EV sales,Cars,PHEV,2010,sales,340
China,Historical,EV sales,Cars,PHEV,2011,sales,320
China,Historical,EV sales,Cars,BEV,2011,sales,4800
China,Historical,EV sales,Cars,BEV,2012,sales,9600
China,Historical,EV sales,Cars,PHEV,2012,sales,260
China,Historical,EV sales,Cars,PHEV,2013,sales,730
China,Historical,EV sales,Cars,BEV,2013,sales,15000
China,Historical,EV sales,Cars,BEV,2014,sales,49000
China,Historical,EV sales,Cars,PHEV,2014,sales,24000
China,Historical,EV sales,Cars,PHEV,2015,sales,61000
China,Historical,EV sales,Cars,BEV,2015,sales,150000
China,Historical,EV sales,Cars,BEV,2016,sales,260000
China,Historical,EV sales,Cars,PHEV,2016,sales,79000
China,Historical,EV sales,Cars,PHEV,2017,sales,110000
China,Historical,EV sales,Cars,BEV,2017,sales,470000
China,Historical,EV sales,Cars,BEV,2018,sales,820000
China,Historical,EV sales,Cars,PHEV,2018,sales,270000
China,Historical,EV sales,Cars,PHEV,2019,sales,230000
China,Historical,EV sales,Cars,BEV,2019,sales,830000
China,Historical,EV sales,Cars,BEV,2020,sales,930000
China,Historical,EV sales,Cars,PHEV,2020,sales,230000
China,Historical,EV sales,Cars,PHEV,2021,sales,600000
China,Historical,EV sales,Cars,BEV,2021,sales,2700000
Denmark,Historical,EV sales,Cars,PHEV,2010,sales,20
Denmark,Historical,EV sales,Cars,BEV,2010,sales,28
Denmark,Historical,EV sales,Cars,BEV,2011,sales,420
Denmark,Historical,EV sales,Cars,PHEV,2012,sales,12
Denmark,Historical,EV sales,Cars,BEV,2012,sales,490
Denmark,Historical,EV sales,Cars,BEV,2013,sales,500
Denmark,Historical,EV sales,Cars,PHEV,2013,sales,10
Denmark,Historical,EV sales,Cars,PHEV,2014,sales,90
Denmark,Historical,EV sales,Cars,BEV,2014,sales,1500
Denmark,Historical,EV sales,Cars,BEV,2015,sales,4200
Denmark,Historical,EV sales,Cars,PHEV,2015,sales,420
Denmark,Historical,EV sales,Cars,PHEV,2016,sales,570
Denmark,Historical,EV sales,Cars,BEV,2016,sales,1200
Denmark,Historical,EV sales,Cars,BEV,2017,sales,690
Denmark,Historical,EV sales,Cars,PHEV,2017,sales,620
Denmark,Historical,EV sales,Cars,PHEV,2018,sales,3100
Denmark,Historical,EV sales,Cars,BEV,2018,sales,1500
Denmark,Historical,EV sales,Cars,BEV,2019,sales,5500
Denmark,Historical,EV sales,Cars,PHEV,2019,sales,3900
Denmark,Historical,EV sales,Cars,PHEV,2020,sales,18000
