Survey Start Date,Gasoline,E85,CNG,LNG,Propane*,Diesel,B20,B2/B5,B99/B100,Electricity**
4/10/2000,$1.52 ,$1.80 ,$0.89 ,,$1.62 ,$1.29 ,,,,
10/9/2000,$1.54 ,$1.90 ,$1.02 ,,$1.76 ,$1.46 ,,,,
6/4/2001,$1.68 ,$1.85 ,$1.30 ,,$1.72 ,$1.37 ,,,,
10/22/2001,$1.27 ,$1.60 ,$1.19 ,,$1.62 ,$1.19 ,$1.35 ,,,
2/11/2002,$1.11 ,$1.54 ,$1.09 ,,$1.62 ,$1.04 ,$1.18 ,,,
4/15/2002,$1.40 ,$1.80 ,$1.07 ,,$1.95 ,$1.19 ,$1.28 ,,,
7/22/2002,$1.41 ,$1.81 ,$1.20 ,,$1.55 ,$1.18 ,$1.39 ,,,
10/28/2002,$1.44 ,$1.71 ,$1.17 ,,$1.66 ,$1.35 ,$1.47 ,,,
2/3/2003,$1.61 ,$1.86 ,$1.20 ,,$2.09 ,$1.50 ,$1.57 ,,,
12/1/2003,$1.48 ,$1.70 ,$1.35 ,,$2.21 ,$1.34 ,$1.60 ,,,
3/3/2004,$1.74 ,$1.84 ,$1.40 ,,$2.48 ,$1.47 ,$1.61 ,,,
6/14/2004,$1.99 ,$2.28 ,$1.40 ,,$2.13 ,$1.55 ,$1.89 ,,,
11/15/2004,$1.97 ,$2.30 ,$1.56 ,,$2.91 ,$1.93 ,$2.05 ,,,
3/21/2005,$2.11 ,$2.29 ,$1.56 ,,$2.65 ,$2.03 ,$2.11 ,,,
9/1/2005,$2.77 ,$3.21 ,$2.12 ,,$3.50 ,$2.54 ,$2.67 ,$2.54 ,$3.30 ,
1/1/2006,$2.23 ,$2.65 ,$1.99 ,,$2.71 ,$2.32 ,$2.42 ,$2.23 ,$3.14 ,
5/24/2006,$2.84 ,$3.24 ,$1.90 ,,$2.85 ,$2.69 ,$2.68 ,$2.69 ,$3.65 ,
9/4/2006,$2.22 ,$2.81 ,$1.77 ,,$3.18 ,$2.37 ,$2.43 ,$2.49 ,$3.21 ,
2/21/2007,$2.30 ,$2.79 ,$1.94 ,,$3.58 ,$2.37 ,$2.32 ,$2.36 ,$3.22 ,
7/3/2007,$3.03 ,$3.50 ,$2.10 ,,$3.53 ,$2.67 ,$2.71 ,$2.57 ,$3.17 ,
10/2/2007,$2.76 ,$3.20 ,$1.77 ,,$3.75 ,$2.81 ,$2.82 ,$2.71 ,$3.28 ,
1/21/2008,$2.99 ,$3.55 ,$1.93 ,,$4.31 ,$3.05 ,$3.08 ,$2.98 ,$3.63 ,
4/1/2008,$3.43 ,$4.06 ,$2.04 ,,$4.36 ,$3.71 ,$3.63 ,$3.59 ,$4.24 ,
7/21/2008,$3.91 ,$4.62 ,$2.34 ,,$4.34 ,$4.22 ,$4.25 ,$4.21 ,$4.81 ,
10/2/2008,$3.04 ,$3.99 ,$2.01 ,,$4.67 ,$3.27 ,$3.69 ,$3.45 ,$4.59 ,
1/12/2009,$1.86 ,$2.56 ,$1.63 ,,$3.77 ,$2.19 ,$2.43 ,$2.20 ,$3.42 ,
4/1/2009,$2.02 ,$2.66 ,$1.64 ,,$3.56 ,$2.04 ,$2.27 ,$2.05 ,$3.22 ,
7/20/2009,$2.44 ,$3.01 ,$1.73 ,,$3.43 ,$2.27 ,$2.45 ,$2.29 ,$3.03 ,
10/16/2009,$2.64 ,$3.21 ,$1.86 ,,$3.72 ,$2.50 ,$2.63 ,na,$3.14 ,
1/19/2010,$2.65 ,$3.36 ,$1.85 ,,$4.13 ,$2.57 ,$2.70 ,na,$3.54 ,
4/2/2010,$2.84 ,$3.42 ,$1.90 ,,$3.99 ,$2.71 ,$2.85 ,na,$3.52 ,
7/12/2010,$2.71 ,$3.25 ,$1.91 ,,$4.01 ,$2.65 ,$2.79 ,na,$3.69 ,
10/4/2010,$2.78 ,$3.45 ,$1.93 ,,$3.93 ,$2.75 ,$2.86 ,na,$3.76 ,
1/24/2011,$3.08 ,$3.89 ,$1.93 ,,$4.22 ,$3.09 ,$3.19 ,na,$3.99 ,$1.35 
4/1/2011,$3.69 ,$4.52 ,$2.06 ,,$4.41 ,$3.62 ,$3.69 ,na,$4.26 ,$1.43 
