Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,EV Total Port Count (Beta),EV CHAdeMO Port Count (Beta),EV J1772 Port Count (Beta),EV CCS Port Count (Beta),EV NEMA 14-50 Port Count (Beta),EV NEMA 515 Port Count (Beta),EV NEMA 520 Port Count (Beta),EV Tesla Port Count (Beta),EV CCS 150+ kW Port Count (Beta)
ELEC,Oregon Museum of Science and Industry (OMSI) - South Parking Lot,1945 SE Water Ave,Under solar canopy in east parking lot,Portland,OR,97214,,800-955-6674,E,,Public,24 hours daily,,,,,2,2,,,Non-Networked,,GPS,45.508396,-122.664667,2021-06-07,33378,2022-02-10 19:42:29 UTC,P,,,2008-10-15,,,,,J1772 NEMA515,US,,,,Public,,public,,,MUSEUM,,,,,,,Free,,,,,,,,,SOLAR,false,4,0,2,0,0,2,0,0,0
ELEC,City of Keizer - City Hall,930 Chemawa Rd NE,,Salem,OR,97303,,503-390-3700,E,,Public,24 hours daily,,,,,2,,,,Non-Networked,,200-9,44.99574,-123.019758,2021-06-07,34849,2022-02-10 19:42:29 UTC,SG,,,2009-10-15,,,,,NEMA520,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,false,2,0,0,0,0,0,2,0,0
ELEC,Nike - LA Garage,1 Bowerman Dr,,Beaverton,OR,97006,,,E,,Private,Employee use only,,,,,,6,,,Non-Networked,,GPS,45.508795,-122.8249,2021-04-08,34859,2022-05-13 23:37:15 UTC,P,,,2017-02-21,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,WIND,,6,0,6,0,0,0,0,0,0
ELEC,LINCOLN CITY TAFT DUAL 1,1226 SW 50th St,,Lincoln City,OR,97367,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.928439,-124.015824,2022-11-10,35258,2022-11-10 00:51:03 UTC,,,,2010-05-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0
ELEC,LBCC  LBCC DUAL 2,Ellingson Rd SW,,Albany,OR,97321,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.586123,-123.115389,2022-11-10,35480,2022-11-10 00:50:39 UTC,,,,2009-01-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0
ELEC,OEG,3200 NW Yeon Ave,,Portland,OR,97210,,,E,,Private,Employee use only,,,,,,1,,,Non-Networked,,200-9,45.545898,-122.707102,2022-04-06,35557,2022-04-06 14:08:04 UTC,P,,,2009-11-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,Free,,,,,,,,,,,1,0,1,0,0,0,0,0,0
ELEC,Lane Community College,4000 E 30th Ave,Under solar canopy; Lot B,Eugene,OR,97405,,541-463-3000,E,,Public,"Employee, student, and visitor use only",,,,,10,10,,,Non-Networked,,200-9,44.009797,-123.033213,2021-06-07,36371,2022-04-28 20:01:31 UTC,LG,,,2010-09-05,,,,,J1772 NEMA520,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,SOLAR,true,20,0,10,0,0,0,10,0,0
ELEC,HILLSBORO OR MAIN ST 1,150 E Main St,,Hillsboro,OR,97123,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,45.522609,-122.988535,2022-11-10,37170,2022-11-10 00:50:38 UTC,,,,2010-11-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0
ELEC,HILLSBORO OR EV-8,253 SE 8th Ave,,Hillsboro,OR,97123,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,45.520533,-122.978089,2022-11-10,37171,2022-11-10 01:04:48 UTC,,,,2010-11-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0
ELEC,Oregon Museum of Science and Industry (OMSI) - North Parking Lot,1945 SE Water Ave,Near building in north parking lot,Portland,OR,97214,,800-955-6674,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,45.509326,-122.666392,2021-06-07,37651,2022-02-10 19:42:29 UTC,P,,,2008-10-15,,,,,J1772,US,,,,Public,,public,,,MUSEUM,,,,,,,Free,,,,,,,,,,false,1,0,1,0,0,0,0,0,0
