Fuel_Type_Code,Station_Name,City,State,Zip,Groups_With_Access_Code,Access_Days_Time,Latitude,Longitude
ELEC,Oregon Museum of Science and Industry (OMSI) - South Parking Lot,Portland,OR,97214,Public,24 hours daily,45.508396,-122.664667
ELEC,City of Keizer - City Hall,Salem,OR,97303,Public,24 hours daily,44.99574,-123.019758
ELEC,Nike - LA Garage,Beaverton,OR,97006,Private,Employee use only,45.508795,-122.8249
ELEC,LINCOLN CITY TAFT DUAL 1,Lincoln City,OR,97367,Public,24 hours daily,44.928439,-124.015824
ELEC,LBCC  LBCC DUAL 2,Albany,OR,97321,Public,24 hours daily,44.586123,-123.115389
ELEC,OEG,Portland,OR,97210,Private,Employee use only,45.545898,-122.707102
ELEC,Lane Community College,Eugene,OR,97405,Public,"Employee, student, and visitor use only",44.009797,-123.033213
ELEC,HILLSBORO OR MAIN ST 1,Hillsboro,OR,97123,Public,24 hours daily,45.522609,-122.988535
ELEC,HILLSBORO OR EV-8,Hillsboro,OR,97123,Public,24 hours daily,45.520533,-122.978089
ELEC,Oregon Museum of Science and Industry (OMSI) - North Parking Lot,Portland,OR,97214,Public,24 hours daily,45.509326,-122.666392
ELEC,Carr Nissan,Beaverton,OR,97005,Public - Call ahead,Dealership business hours,45.491783,-122.81107
ELEC,Lithia Nissan of Bend,Bend,OR,97701,Public - Call ahead,Dealership business hours,44.055213,-121.277279
ELEC,Kiefer Nissan,Corvallis,OR,97330,Public - Call ahead,Dealership business hours,44.572608,-123.258425
ELEC,Lithia Nissan of Eugene,Eugene,OR,97401,Public - Call ahead,Dealership business hours,44.05902085037804,-123.08139746322934
ELEC,Dick Hannah Nissan,Gladstone,OR,97027,Public - Call ahead,Dealership business hours,45.378967,-122.603899
ELEC,Chuck Colvin Nissan,McMinnville,OR,97128,Public - Call ahead,Dealership business hours,45.227394,-123.180863
ELEC,Lithia Nissan,Medford,OR,97504,Public - Call ahead,Dealership business hours,42.379969,-122.858192
ELEC,Rustom Nissan - Portland,Portland,OR,97230,Public - Call ahead,Dealership business hours,45.531759,-122.537403
ELEC,Nissan of Salem,Salem,OR,97302,Public - Call ahead,Dealership business hours,44.921582,-123.006236
ELEC,Ray Schultens Nissan,The Dalles,OR,97058,Public - Call ahead,Dealership business hours,45.613979,-121.20996
ELEC,Tonkin Nissan,Wilsonville,OR,97070,Public - Call ahead,Dealership business hours,45.326814,-122.770853
ELEC,Southern Oregon University - Lot 8,Ashland,OR,97520,Public,24 hours daily; parking permit required; Drivers must bring their own J1772 cordset for Level 1 charging,42.187149,-122.689496
ELEC,Mentor Graphics,Wilsonville,OR,97070,Private,Employee and customer use only;  Drivers must bring their own J1772 cordset for Level 1 charging,45.317487,-122.759692
ELEC,Atmosera,Beaverton,OR,97005,Public - Call ahead,8am-5pm daily; Employee and customer use only,45.475743,-122.776517
ELEC,Clackamas County Sheriff's Office - Brooks Building,Clackamas,OR,97015,Public,8am-5pm daily,45.43039546782978,-122.5722026653595
ELEC,TC Chevrolet,Ashland,OR,97520,Public - Call ahead,Dealership business hours,42.219548,-122.740005
ELEC,HIGHLANDCHEVRON HIGHLAND DUAL 1,Beaverton,OR,97005,Public,24 hours daily,45.475962,-122.825561
ELEC,West Hills Collision Center,Portland,OR,97219,Public,24 hours daily,45.464636,-122.698892
ELEC,Hilltop Collision Center,Oregon City,OR,97045,Public,24 hours daily,45.333825,-122.596795
ELEC,Deschutes National Forest Supervisor’s Office,Bend,OR,97701,Private,USNF Employees only,44.091791,-121.261635
ELEC,Forest Service - Umpqua National Forest,Glide,OR,97443,Private,USDA fleet use only,43.236194,-122.940719
ELEC,TOFURKY COMPANY TOFURKY HQ,Hood River,OR,97031,TEMPORARILY UNAVAILABLE (Public),24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,45.713918,-121.516681
ELEC,Ocean Beaches Glassblowing & Gallery,Seal Rock,OR,97376,Public,10am-6pm daily,44.504993,-124.079315
ELEC,FORD_BLDG FORD CHARGER #1,Coos Bay,OR,97420,Public,24 hours daily,43.366504,-124.214993
ELEC,US BANCORP 5TH AVE GARAGE1,Portland,OR,97204,Public,24 hours daily,45.522185,-122.675939
ELEC,US BANCORP 4TH AVE GARAGE1,Portland,OR,97204,TEMPORARILY UNAVAILABLE (Public),24 hours daily,45.522198,-122.674722
ELEC,TC Chevrolet,Ashland,OR,97520,Private,Dealership business hours; for service use only,42.219548,-122.740005
ELEC,BEND BMW STATION 01,Bend,OR,97702,Public,24 hours daily,44.039941,-121.305312
ELEC,Suburban Ford,Sandy,OR,97055,Public,Dealership business hours,45.400895,-122.281716
ELEC,UOP CHARGE LIBRARY 2,Portland,OR,97203,Public,24 hours daily,45.573016,-122.726659
ELEC,Banks - Jim's Thriftway,Banks,OR,97106,Public,24 hours daily,45.61007,-123.11286
ELEC,Central Point - Fairground Chevron,Central Point,OR,97497,Public,24 hours daily,42.37837,-122.90072
ELEC,Roseburg - Wagon Wheel Restaurant,Roseburg,OR,97470,Public,24 hours daily,43.22653,-123.3558
ELEC,Ashland - Shell,Ashland,OR,97520,Public,24 hours daily,42.18548,-122.66801
ELEC,Wolf Creek - Wolf Creek Inn,Wolf Creek,OR,97497,Public,24 hours daily,42.69678,-123.39592
ELEC,Springfield - Gateway Marketplace,Springfield,OR,97477,Public,24 hours daily,44.08435,-123.03951
ELEC,Newport - City of Newport Public Parking Lot,Newport,OR,97365,Public,24 hours daily,44.63244,-124.05535
ELEC,Oakland - Motel 6,Oakland,OR,97462,Public,24 hours daily,43.53704,-123.29011
ELEC,Canyonville - 7 Feathers Truck and Travel Center,Canyonville,OR,97417,Public,24 hours daily,42.94087,-123.2896
ELEC,Cafe Yumm! - Argyle Square,Wilsonville,OR,97070,Public,11am-9pm daily; free for restaurant patrons,45.334986,-122.766691
ELEC,OSU LPSC,Corvallis,OR,97331,Public,24 hours daily,44.566295,-123.283836
ELEC,WV EV STATION 1 WV EV STATION 1,Milwaukie,OR,97222,Public,24 hours daily,45.430256,-122.645106
ELEC,RIVERPLACE RIVERPLACE APT,Independence,OR,97351,Public,24 hours daily,44.865232,-123.183309
ELEC,Laurel Ridge Winery,Carlton,OR,97111,Public,11am-5pm daily,45.313977,-123.100942
ELEC,OSU FAIRBANKS SOUTH,Corvallis,OR,97331,TEMPORARILY UNAVAILABLE (Public),24 hours daily,44.564876,-123.280561
