model,average_mpg
IONIQ Electric,133.57
Prius Prime,133.00
Model 3,124.67
Model Y,121.83
Air,121.44
iQ EV,121.00
KONA Electric,120.00
IONIQ Plug-in Hybrid,119.00
Spark EV,119.00
Bolt EV,118.64
e-Golf,117.40
Accord Plug-In,115.00
Bolt EUV,115.00
Clarity Electric,114.00
i3,113.78
500e,113.67
i-MiEV,112.00
Niro EV,112.00
Clarity Plug-In Hybrid,110.00
LEAF,109.59
Hardtop 2 Door,109.32
EQ fortwo,108.00
i4,107.38
fortwo electric drive,107.21
Soul EV,105.40
Focus,105.13
EV6,105.12
Niro Plug-In Hybrid,105.00
Escape Plug-In Hybrid,105.00
bZ4X,104.00
Optima Plug-In Hybrid,102.55
Volt,101.77
IONIQ 5,101.17
Model S,101.10
SONATA Plug-in Hybrid,99.00
EQS,96.84
E-Transit Cargo,96.00
ID.4,95.91
Prius Plug-in Hybrid,95.00
Model X,94.16
RAV4 Prime,94.00
Fusion Energi,93.87
Mustang Mach-E,93.60
2,90.11
C-MAX Energi,89.18
Transit Connect Electric,88.00
C40,87.00
Roadster,87.00
iX,86.00
Crosstrek,85.07
B-Class,84.00
NX 450h+,84.00
ELR,83.38
A3 Sportback e-tron,83.00
Pacifica Hybrid,82.52
e-tron GT,82.00
XC40,81.85
RS e-tron GT,81.00
TUCSON Plug-in Hybrid,80.00
Sorento Plug-In Hybrid,79.00
Corsair,78.00
I-PACE,77.06
e-tron Sportback,77.00
SANTA FE Plug-In Hybrid,76.00
RAV4 EV,76.00
e-tron,75.82
i8,74.53
Taycan,74.18
Outlander PHEV,74.00
R1T,70.00
3 Series,69.98
S60,69.91
V60,69.00
F-150 Lightning,68.00
A7,68.00
HUMMER EV,68.00
5 Series,67.41
Countryman Plug-in Hybrid,67.06
918 Spyder,67.00
S90,66.71
Revero,62.00
GS-6,62.00
CT6 PLUG-IN Hybrid,62.00
7 Series,61.33
X3,60.00
S-Class,58.67
GLC,58.22
XC60,58.21
1,58.00
Q5,57.74
XC90,57.04
Aviator,56.00
Karma,54.00
X5,52.88
C-Class,51.00
SF90 Stradale,51.00
Wrangler Unlimited,49.00
Panamera,48.87
Cayenne,45.99
Bentayga,45.00
SF90 Spider,44.00
GLE,43.00
Range Rover Sport,42.00
Range Rover,42.00
P1,18.00
Ranger,15.00
RS,0.00
EVA,0.00
FXP,0.00
LOG,0.00
XTR,0.00
SR,0.00
ONE,0.00
ELX,0.00
E2,0.00
DSR,0.00
FXE,0.00
CA7,0.00
FZ8,0.00
SZF,0.00
CIT,0.00
2X2,0.00
BLA,0.00
TH!NK,0.00
S98,0.00
DS,0.00
OSA,0.00
SR/,0.00
S,0.00
M3,0.00
VET,0.00
825,0.00
LIV,0.00
ELW,0.00
EZO,0.00
VT2,0.00
FRK,0.00
FXS,0.00
E4,0.00
SEV,0.00
SRF,0.00
SPD,0.00
ZU1,0.00
RNG,0.00
UNKNOWN,0.00
FUV,0.00
SCO,0.00
FX,0.00
SMT,0.00
RAV,0.00
NBR,0.00
R2T,0.00
