county,manufacturer,model,no_of_model_sold
BAKER,Toyota,Prius Plug-in Hybrid,1
BAKER,Subaru,Crosstrek,1
BAKER,Kia,Sorento Plug-In Hybrid,1
BAKER,Mercedes-Benz,EQS,1
BAKER,Chrysler,Pacifica Hybrid,1
BAKER,Toyota,RAV4 Prime,1
BAKER,Ford,Mustang Mach-E,2
BAKER,Smart,fortwo electric drive,1
BAKER,Tesla,Model S,4
BAKER,Tesla,Model 3,2
BAKER,Toyota,Prius Prime,4
BAKER,Ford,Escape Plug-In Hybrid,1
BAKER,Volvo,XC60,1
BAKER,Tesla,Model Y,1
BAKER,Chevrolet,Spark EV,1
BAKER,FIAT,500e,1
BAKER,Volvo,XC90,1
BAKER,Kia,Niro Plug-In Hybrid,1
BAKER,Chevrolet,Bolt EV,1
BAKER,Tesla,Model X,1
BAKER,Chevrolet,Volt,1
BAKER,Hyundai,SANTA FE Plug-In Hybrid,1
BAKER,Honda,Clarity Plug-In Hybrid,1
BENTON,Rivian,R1T,1
BENTON,Kia,EV6,7
BENTON,Subaru,Crosstrek,14
BENTON,Tesla,Model 3,207
BENTON,Chrysler,Pacifica Hybrid,23
BENTON,MINI,Hardtop 2 Door,4
BENTON,Audi,A3 Sportback e-tron,4
BENTON,Honda,Clarity Electric,2
BENTON,Honda,Clarity Plug-In Hybrid,31
BENTON,Hyundai,IONIQ Electric,3
BENTON,EZGO,UNKNOWN,1
BENTON,ZERO,UNKNOWN,2
BENTON,Nissan,LEAF,108
BENTON,BMW,X5,11
BENTON,Volkswagen,e-Golf,12
BENTON,Audi,e-tron,5
BENTON,Kia,Optima Plug-In Hybrid,1
BENTON,Kia,Niro Plug-In Hybrid,10
BENTON,Mitsubishi,i-MiEV,5
BENTON,Tesla,Model Y,104
BENTON,Volvo,XC40,8
BENTON,Toyota,RAV4 Prime,80
BENTON,Ford,Focus,2
BENTON,Hyundai,IONIQ Plug-in Hybrid,9
BENTON,Toyota,Prius Prime,111
BENTON,Ford,C-MAX Energi,29
BENTON,Chevrolet,Spark EV,10
BENTON,Jeep,Wrangler Unlimited,9
BENTON,Ford,TH!NK,6
BENTON,BMW,3 Series,3
BENTON,Chevrolet,Bolt EV,99
BENTON,BMW,X3,3
BENTON,Tesla,Model X,39
BENTON,Kia,Soul EV,2
BENTON,Smart,fortwo electric drive,3
BENTON,Volvo,V60,1
BENTON,Porsche,Cayenne,1
BENTON,Polestar,2,2
BENTON,Lincoln,Aviator,2
BENTON,FIAT,500e,7
BENTON,Chevrolet,Bolt EUV,5
BENTON,POLS,UNKNOWN,1
BENTON,Land Rover,Range Rover Sport,1
BENTON,Volvo,C40,2
BENTON,Lexus,NX 450h+,1
BENTON,Volvo,XC90,8
BENTON,Volkswagen,ID.4,14
BENTON,ZERO,S,1
BENTON,HCKC,UNKNOWN,1
BENTON,ZONG,UNKNOWN,1
BENTON,Porsche,Taycan,1
BENTON,Volvo,XC60,12
BENTON,Ford,Escape Plug-In Hybrid,6
BENTON,AMIC,UNKNOWN,4
BENTON,Hyundai,SANTA FE Plug-In Hybrid,6
BENTON,Toyota,Prius Plug-in Hybrid,30
BENTON,TOMB,UNKNOWN,1
BENTON,ZENN,UNKNOWN,1
BENTON,Chevrolet,Volt,39
BENTON,Audi,Q5,8
BENTON,Kia,Sorento Plug-In Hybrid,2
BENTON,UBCO,UNKNOWN,1
BENTON,MAHIN,UNKNOWN,1
BENTON,ZERO,RS,1
BENTON,GEM,UNKNOWN,1
BENTON,Hyundai,IONIQ 5,2
BENTON,Kia,Niro EV,24
BENTON,MINI,Countryman Plug-in Hybrid,1
BENTON,Hyundai,SONATA Plug-in Hybrid,2
BENTON,ZERO,SR,1
BENTON,Hyundai,KONA Electric,26
BENTON,Tesla,Model S,50
BENTON,BMW,i3,16
BENTON,Mitsubishi,Outlander PHEV,2
BENTON,Hyundai,TUCSON Plug-in Hybrid,1
BENTON,Ford,Fusion Energi,18
BENTON,Ford,Mustang Mach-E,27
CLACKAMAS,BMW,7 Series,4
CLACKAMAS,Toyota,bZ4X,1
CLACKAMAS,GMC,HUMMER EV,1
CLACKAMAS,Lincoln,Corsair,1
CLACKAMAS,Nissan,LEAF,518
CLACKAMAS,BMW,X3,10
