model,no_of_sold_models
Model 3,7660
Model Y,5166
LEAF,3909
Prius Prime,2493
Bolt EV,2304
RAV4 Prime,2006
Model S,1784
Volt,1445
Model X,1285
Pacifica Hybrid,973
Niro EV,880
Mustang Mach-E,833
KONA Electric,792
Fusion Energi,646
Crosstrek,622
Wrangler Unlimited,567
i3,564
e-Golf,548
X5,542
C-MAX Energi,538
ID.4,528
Clarity Plug-In Hybrid,501
Niro Plug-In Hybrid,430
UNKNOWN,423
Prius Plug-in Hybrid,404
Spark EV,379
XC90,362
Q5,352
XC60,337
e-tron,317
IONIQ Plug-in Hybrid,310
EV6,297
Escape Plug-In Hybrid,269
IONIQ Electric,239
IONIQ 5,227
XC40,217
Outlander PHEV,184
SANTA FE Plug-In Hybrid,182
X3,174
2,173
A3 Sportback e-tron,156
Hardtop 2 Door,153
500e,147
Taycan,143
Sorento Plug-In Hybrid,138
5 Series,130
Soul EV,121
GLC,113
3 Series,113
Bolt EUV,110
fortwo electric drive,94
SONATA Plug-in Hybrid,88
Clarity Electric,88
Focus,81
Cayenne,75
Countryman Plug-in Hybrid,74
TH!NK,73
I-PACE,69
e-tron Sportback,64
TUCSON Plug-in Hybrid,58
NX 450h+,54
C40,48
R1T,40
Aviator,35
E-Transit Cargo,35
Panamera,31
Optima Plug-In Hybrid,31
S60,30
i-MiEV,27
B-Class,25
i8,25
EQS,19
F-150 Lightning,17
Range Rover Sport,17
e-tron GT,15
iX,14
GLE,13
V60,11
7 Series,11
FXS,10
EQ fortwo,10
Air,9
Corsair,9
i4,8
A7,8
FX,7
S,6
SR,6
DSR,5
ELR,5
RS e-tron GT,5
CT6 PLUG-IN Hybrid,5
LIV,5
SR/,4
DS,4
Roadster,4
C-Class,4
SRF,4
ONE,4
S-Class,3
ELX,3
HUMMER EV,2
ELW,2
Revero,2
Range Rover,2
SF90 Stradale,2
918 Spyder,2
GS-6,2
bZ4X,2
S90,2
SF90 Spider,1
RAV4 EV,1
M3,1
2X2,1
LOG,1
FXP,1
EVA,1
Accord Plug-In,1
RS,1
FXE,1
CA7,1
FUV,1
VT2,1
1,1
SZF,1
CIT,1
Bentayga,1
BLA,1
S98,1
OSA,1
