zip,manufacturer,model,no_of_model_sold
97002,Tesla,Model Y,9
97002,Chrysler,Pacifica Hybrid,3
97002,Ford,C-MAX Energi,1
97002,Volkswagen,ID.4,1
97002,Ford,Fusion Energi,4
97002,Chevrolet,Volt,7
97002,MINI,Countryman Plug-in Hybrid,1
97002,Nissan,LEAF,12
97002,BMW,i3,1
97002,Kia,Niro Plug-In Hybrid,1
97002,Hyundai,SONATA Plug-in Hybrid,1
97002,Tesla,Model 3,14
97002,Hyundai,KONA Electric,2
97002,Kia,Niro EV,2
97002,CVGI,UNKNOWN,1
97002,Kia,EV6,1
97002,MINI,Hardtop 2 Door,1
97002,Audi,e-tron,1
97002,Tesla,Model S,7
97002,Ford,Escape Plug-In Hybrid,1
97002,Volvo,XC90,1
97002,Lexus,NX 450h+,1
97002,ZERO,FX,1
97002,Chevrolet,Spark EV,1
97002,Jeep,Wrangler Unlimited,1
97002,Volvo,XC40,1
97002,Volkswagen,e-Golf,1
97002,Tesla,Model X,5
97002,Chevrolet,Bolt EV,3
97002,Ford,Mustang Mach-E,2
97003,Ford,TH!NK,1
97003,Hyundai,IONIQ 5,3
97003,Kia,Sorento Plug-In Hybrid,3
97003,Nissan,LEAF,35
97003,Toyota,Prius Prime,11
97003,Volkswagen,ID.4,8
97003,Hyundai,SANTA FE Plug-In Hybrid,1
97003,Smart,fortwo electric drive,1
97003,Chrysler,Pacifica Hybrid,4
97003,Tesla,Model S,3
97003,BMW,3 Series,1
97003,Subaru,Crosstrek,4
97003,Tesla,Model X,7
97003,Hyundai,IONIQ Electric,3
97003,Audi,e-tron,1
97003,Hyundai,KONA Electric,3
97003,Chevrolet,Bolt EUV,1
97003,BMW,i3,2
97003,Porsche,Cayenne,1
97003,Toyota,RAV4 Prime,14
97003,Lucid,Air,1
97003,Kia,Niro EV,5
97003,Volkswagen,e-Golf,5
97003,Honda,Clarity Electric,1
97003,MINI,Hardtop 2 Door,1
97003,Volvo,XC90,1
97003,Tesla,Model 3,41
97003,Toyota,Prius Plug-in Hybrid,3
97003,Ford,Focus,1
97003,Jeep,Wrangler Unlimited,2
97003,Honda,Clarity Plug-In Hybrid,2
97003,Chevrolet,Volt,13
97003,Hyundai,SONATA Plug-in Hybrid,1
97003,Kia,EV6,1
97003,Tesla,Roadster,1
97003,BMW,X5,1
97003,Volvo,C40,1
97003,Tesla,Model Y,28
97003,Ford,C-MAX Energi,2
97003,Chevrolet,Spark EV,5
97003,Kia,Soul EV,1
97003,Hyundai,IONIQ Plug-in Hybrid,1
97003,Kia,Niro Plug-In Hybrid,5
97003,Ford,Mustang Mach-E,3
97003,Ford,Fusion Energi,11
97003,Chevrolet,Bolt EV,13
97004,Chrysler,Pacifica Hybrid,3
97004,Chevrolet,Bolt EV,6
97004,Tesla,Model 3,8
97004,Audi,e-tron,1
97004,Kia,Niro Plug-In Hybrid,1
97004,Jeep,Wrangler Unlimited,1
97004,Hyundai,IONIQ Electric,1
97004,Honda,Clarity Plug-In Hybrid,1
97004,Kia,Optima Plug-In Hybrid,1
97004,Tesla,Model X,1
97004,Nissan,LEAF,7
97004,Tesla,Model S,2
97004,Ford,Mustang Mach-E,1
97004,Toyota,Prius Prime,2
97004,Hyundai,KONA Electric,2
97004,Hyundai,IONIQ 5,1
97004,Porsche,Taycan,1
97004,Toyota,RAV4 Prime,3
97004,Tesla,Model Y,5
97004,Ford,Fusion Energi,1
97005,Nissan,LEAF,29
97005,Volkswagen,e-Golf,6
97005,Chevrolet,Bolt EV,14
97005,Hyundai,IONIQ Electric,2
97005,BMW,i3,3
97005,Ford,Mustang Mach-E,4
97005,Tesla,Model Y,30
97005,BMW,3 Series,3
97005,Ford,TH!NK,2
97005,Volvo,XC60,1
97005,Tesla,Model 3,44
97005,Ford,Escape Plug-In Hybrid,2
97005,Hyundai,SANTA FE Plug-In Hybrid,1
97005,Kia,Niro Plug-In Hybrid,4
97005,Kia,Soul EV,1
97005,Chrysler,Pacifica Hybrid,4
97005,Hyundai,IONIQ Plug-in Hybrid,4
97005,Porsche,Taycan,1
97005,Toyota,Prius Prime,16
97005,Toyota,Prius Plug-in Hybrid,3
97005,Ford,Focus,1
97005,Tesla,Model X,8
97005,Porsche,Panamera,1
97005,Kia,EV6,2
97005,FIAT,500e,3
97005,Hyundai,KONA Electric,5
97005,Ford,Fusion Energi,2
97005,Mitsubishi,Outlander PHEV,1
97005,Polestar,2,1
97005,Volvo,XC90,1
97005,MINI,Countryman Plug-in Hybrid,2
97005,Subaru,Crosstrek,2
97005,BMW,X5,4
97005,Audi,e-tron,6
97005,Jeep,Wrangler Unlimited,2
97005,Chevrolet,Spark EV,2
97005,Kia,Niro EV,6
97005,Audi,e-tron Sportback,6
97005,BMW,iX,2
97005,Hyundai,IONIQ 5,1
97005,Toyota,RAV4 Prime,14
97005,Volkswagen,ID.4,6
97005,Volvo,S60,1
97005,Ford,C-MAX Energi,3
97005,Ford,E-Transit Cargo,4
97005,Audi,Q5,5
97005,Chevrolet,Volt,11
97005,Mitsubishi,i-MiEV,3
97005,Honda,Clarity Electric,1
97005,Tesla,Model S,4
97006,Lexus,NX 450h+,3
97006,Volvo,XC90,1
97006,Hyundai,IONIQ Plug-in Hybrid,9
97006,Hyundai,IONIQ Electric,5
97006,Ford,Fusion Energi,17
97006,Nissan,LEAF,91
97006,Chevrolet,Bolt EV,27
97006,Volvo,V60,1
97006,BMW,3 Series,3
97006,Hyundai,SANTA FE Plug-In Hybrid,6
97006,BMW,5 Series,3
97006,Chevrolet,Spark EV,7
97006,Jeep,Wrangler Unlimited,8
97006,Tesla,Model S,12
97006,Mitsubishi,Outlander PHEV,2
97006,Chevrolet,Bolt EUV,3
