Region,Parameter,Mode,Powertrain,Year,Unit,Value
Australia,EV sales,Cars,BEV,2011,sales,49
Australia,EV sales,Cars,BEV,2012,sales,170
Australia,EV sales,Cars,PHEV,2012,sales,80
Australia,EV sales,Cars,PHEV,2013,sales,100
Australia,EV sales,Cars,BEV,2013,sales,190
Australia,EV sales,Cars,BEV,2014,sales,370
Australia,EV sales,Cars,PHEV,2014,sales,950
Australia,EV sales,Cars,PHEV,2015,sales,1000
Australia,EV sales,Cars,BEV,2015,sales,760
Australia,EV sales,Cars,BEV,2016,sales,670
Australia,EV sales,Cars,PHEV,2016,sales,700
Australia,EV sales,Cars,PHEV,2017,sales,1100
Australia,EV sales,Cars,BEV,2017,sales,1200
Australia,EV sales,Cars,BEV,2018,sales,1800
Australia,EV sales,Cars,PHEV,2018,sales,1800
Australia,EV sales,Cars,PHEV,2019,sales,2900
Australia,EV sales,Cars,BEV,2019,sales,6300
Australia,EV sales,Cars,BEV,2020,sales,5200
Australia,EV sales,Cars,PHEV,2020,sales,1700
Australia,EV sales,Cars,PHEV,2021,sales,3400
Australia,EV sales,Cars,BEV,2021,sales,17000
Belgium,EV sales,Cars,BEV,2010,sales,35
Belgium,EV sales,Cars,BEV,2011,sales,280
Belgium,EV sales,Cars,PHEV,2011,sales,16
Belgium,EV sales,Cars,PHEV,2012,sales,260
Belgium,EV sales,Cars,BEV,2012,sales,1000
Belgium,EV sales,Cars,BEV,2013,sales,610
Belgium,EV sales,Cars,PHEV,2013,sales,60
Belgium,EV sales,Cars,PHEV,2014,sales,650
Belgium,EV sales,Cars,BEV,2014,sales,1400
Belgium,EV sales,Cars,BEV,2015,sales,1700
Belgium,EV sales,Cars,PHEV,2015,sales,2200
Belgium,EV sales,Cars,PHEV,2016,sales,7100
Belgium,EV sales,Cars,BEV,2016,sales,2300
Belgium,EV sales,Cars,BEV,2017,sales,3000
Belgium,EV sales,Cars,PHEV,2017,sales,12000
Belgium,EV sales,Cars,PHEV,2018,sales,9400
Belgium,EV sales,Cars,BEV,2018,sales,4200
Belgium,EV sales,Cars,BEV,2019,sales,8900
Belgium,EV sales,Cars,PHEV,2019,sales,8800
Belgium,EV sales,Cars,PHEV,2020,sales,33000
Belgium,EV sales,Cars,BEV,2020,sales,15000
Belgium,EV sales,Cars,BEV,2021,sales,22000
Belgium,EV sales,Cars,PHEV,2021,sales,48000
Brazil,EV sales,Cars,BEV,2012,sales,74
Brazil,EV sales,Cars,PHEV,2012,sales,18
Brazil,EV sales,Cars,PHEV,2013,sales,33
Brazil,EV sales,Cars,BEV,2013,sales,130
Brazil,EV sales,Cars,BEV,2014,sales,61
Brazil,EV sales,Cars,PHEV,2015,sales,28
Brazil,EV sales,Cars,BEV,2015,sales,59
Brazil,EV sales,Cars,BEV,2016,sales,130
Brazil,EV sales,Cars,PHEV,2016,sales,47
Brazil,EV sales,Cars,PHEV,2017,sales,290
Brazil,EV sales,Cars,BEV,2017,sales,28
Brazil,EV sales,Cars,BEV,2018,sales,71
Brazil,EV sales,Cars,PHEV,2018,sales,230
Brazil,EV sales,Cars,PHEV,2019,sales,1400
Brazil,EV sales,Cars,BEV,2019,sales,540
Brazil,EV sales,Cars,BEV,2020,sales,680
Brazil,EV sales,Cars,PHEV,2020,sales,1800
Brazil,EV sales,Cars,PHEV,2021,sales,5200
Brazil,EV sales,Cars,BEV,2021,sales,2000
Canada,EV sales,Cars,PHEV,2011,sales,300
Canada,EV sales,Cars,BEV,2011,sales,220
Canada,EV sales,Cars,BEV,2012,sales,620
Canada,EV sales,Cars,PHEV,2012,sales,1400
Canada,EV sales,Cars,PHEV,2013,sales,1500
Canada,EV sales,Cars,BEV,2013,sales,1600
Canada,EV sales,Cars,BEV,2014,sales,2800
Canada,EV sales,Cars,PHEV,2014,sales,2200
Canada,EV sales,Cars,PHEV,2015,sales,2600
Canada,EV sales,Cars,BEV,2015,sales,4400
Canada,EV sales,Cars,BEV,2016,sales,5200
Canada,EV sales,Cars,PHEV,2016,sales,6400
Canada,EV sales,Cars,PHEV,2017,sales,8000
Canada,EV sales,Cars,BEV,2017,sales,8700
Canada,EV sales,Cars,BEV,2018,sales,23000
Canada,EV sales,Cars,PHEV,2018,sales,21000
Canada,EV sales,Cars,PHEV,2019,sales,19000
Canada,EV sales,Cars,BEV,2019,sales,32000
Canada,EV sales,Cars,BEV,2020,sales,37000
Canada,EV sales,Cars,PHEV,2020,sales,14000
Canada,EV sales,Cars,PHEV,2021,sales,28000
Canada,EV sales,Cars,BEV,2021,sales,59000
Chile,EV sales,Cars,BEV,2011,sales,6
Chile,EV sales,Cars,BEV,2012,sales,5
Chile,EV sales,Cars,BEV,2013,sales,5
Chile,EV sales,Cars,BEV,2014,sales,3
Chile,EV sales,Cars,PHEV,2014,sales,14
Chile,EV sales,Cars,PHEV,2015,sales,23
Chile,EV sales,Cars,BEV,2015,sales,13
Chile,EV sales,Cars,BEV,2016,sales,22
Chile,EV sales,Cars,PHEV,2016,sales,9
Chile,EV sales,Cars,PHEV,2017,sales,15
Chile,EV sales,Cars,BEV,2017,sales,120
Chile,EV sales,Cars,BEV,2018,sales,110
Chile,EV sales,Cars,PHEV,2018,sales,68
Chile,EV sales,Cars,PHEV,2019,sales,140
Chile,EV sales,Cars,BEV,2019,sales,160
Chile,EV sales,Cars,BEV,2020,sales,110
