Survey_Start_Date,Gasoline,E85,Cng,Lng,Propane,Diesel,B20,B2/B5,B99/B100,Electricity
2000-04-10,1.52,1.8,0.89,,1.62,1.29,,,,
2000-10-09,1.54,1.9,1.02,,1.76,1.46,,,,
2001-06-04,1.68,1.85,1.3,,1.72,1.37,,,,
2001-10-22,1.27,1.6,1.19,,1.62,1.19,1.35,,,
2002-02-11,1.11,1.54,1.09,,1.62,1.04,1.18,,,
2002-04-15,1.4,1.8,1.07,,1.95,1.19,1.28,,,
2002-07-22,1.41,1.81,1.2,,1.55,1.18,1.39,,,
2002-10-28,1.44,1.71,1.17,,1.66,1.35,1.47,,,
2003-02-03,1.61,1.86,1.2,,2.09,1.5,1.57,,,
2003-12-01,1.48,1.7,1.35,,2.21,1.34,1.6,,,
2004-03-03,1.74,1.84,1.4,,2.48,1.47,1.61,,,
2004-06-14,1.99,2.28,1.4,,2.13,1.55,1.89,,,
2004-11-15,1.97,2.3,1.56,,2.91,1.93,2.05,,,
2005-03-21,2.11,2.29,1.56,,2.65,2.03,2.11,,,
2005-09-01,2.77,3.21,2.12,,3.5,2.54,2.67,2.54,3.3,
2006-01-01,2.23,2.65,1.99,,2.71,2.32,2.42,2.23,3.14,
2006-05-24,2.84,3.24,1.9,,2.85,2.69,2.68,2.69,3.65,
2006-09-04,2.22,2.81,1.77,,3.18,2.37,2.43,2.49,3.21,
2007-02-21,2.3,2.79,1.94,,3.58,2.37,2.32,2.36,3.22,
2007-07-03,3.03,3.5,2.1,,3.53,2.67,2.71,2.57,3.17,
2007-10-02,2.76,3.2,1.77,,3.75,2.81,2.82,2.71,3.28,
2008-01-21,2.99,3.55,1.93,,4.31,3.05,3.08,2.98,3.63,
2008-04-01,3.43,4.06,2.04,,4.36,3.71,3.63,3.59,4.24,
2008-07-21,3.91,4.62,2.34,,4.34,4.22,4.25,4.21,4.81,
2008-10-02,3.04,3.99,2.01,,4.67,3.27,3.69,3.45,4.59,
2009-01-12,1.86,2.56,1.63,,3.77,2.19,2.43,2.2,3.42,
2009-04-01,2.02,2.66,1.64,,3.56,2.04,2.27,2.05,3.22,
2009-07-20,2.44,3.01,1.73,,3.43,2.27,2.45,2.29,3.03,
2009-10-16,2.64,3.21,1.86,,3.72,2.5,2.63,,3.14,
2010-01-19,2.65,3.36,1.85,,4.13,2.57,2.7,,3.54,
2010-04-02,2.84,3.42,1.9,,3.99,2.71,2.85,,3.52,
2010-07-12,2.71,3.25,1.91,,4.01,2.65,2.79,,3.69,
2010-10-04,2.78,3.45,1.93,,3.93,2.75,2.86,,3.76,
2011-01-24,3.08,3.89,1.93,,4.22,3.09,3.19,,3.99,1.35
2011-04-01,3.69,4.52,2.06,,4.41,3.62,3.69,,4.26,1.43
2011-07-14,3.68,4.6,2.07,,4.26,3.54,3.67,,4.13,1.47
2011-09-30,3.46,4.51,2.09,,4.23,3.42,3.57,,4.12,1.46
2012-01-13,3.37,4.44,2.13,,4.26,3.46,3.61,,4.14,1.37
2012-03-30,3.89,4.9,2.08,,4.02,3.69,3.82,,4.29,1.43
2012-07-13,3.52,4.58,2.05,,3.64,3.36,3.5,,4.16,1.44
2012-09-28,3.82,4.91,2.12,,3.54,3.7,3.82,,4.32,1.43
2013-01-10,3.29,4.48,2.1,,3.7,3.55,3.7,,4.37,1.36
2013-03-29,3.59,4.66,2.1,,3.77,3.58,3.75,,4.23,1.41
2013-07-12,3.65,4.57,2.14,,3.77,3.5,3.55,,4.13,1.49
2013-10-04,3.45,4.3,2.09,,4.09,3.51,3.67,,4.12,1.45
2014-01-01,3.34,4.29,2.09,,4.31,3.49,3.62,,4.22,1.36
2014-04-01,3.65,4.82,2.15,,4.57,3.56,3.66,,4.17,1.43
2014-07-01,3.7,4.56,2.17,,4.24,3.51,3.63,,4.18,1.51
2014-10-01,3.34,4.07,2.16,,4.25,3.38,3.48,,4.15,1.46
2015-01-01,2.3,3.12,2.11,,4.04,2.75,2.9,,3.96,1.41
2015-04-01,2.42,2.77,2.09,,4.01,2.56,2.62,,3.69,1.47
2015-07-01,2.82,3.07,2.12,,3.97,2.61,2.63,,3.48,1.49
2015-10-01,2.35,2.84,2.09,,3.97,2.3,2.39,,3.33,1.47
2016-01-01,1.98,2.42,2.09,,3.91,1.99,2.17,,3.15,1.39
2016-04-01,2.06,2.39,2.02,,3.79,1.9,2.01,,2.76,1.43
2016-07-01,2.26,2.59,2.05,2.41,3.79,2.19,2.28,,2.97,1.45
2016-10-01,2.22,2.51,2.06,2.43,3.67,2.21,2.21,,3.12,1.41
2017-01-01,2.32,2.65,2.11,2.53,3.84,2.3,2.32,,2.99,1.38
2017-04-01,2.38,2.74,2.15,2.52,3.87,2.27,2.24,,3.03,1.43
2017-07-01,2.26,2.58,2.15,2.52,3.89,2.2,2.24,,3.15,1.47
2017-10-01,2.49,2.73,2.17,2.6,3.82,2.46,2.41,,3.31,1.43
2018-01-01,2.5,2.68,2.17,2.66,3.88,2.63,2.55,,3.41,1.35
2018-04-01,2.67,2.87,2.18,2.57,3.87,2.7,2.59,,3.39,1.41
2018-07-01,2.88,3.05,2.22,2.6,3.85,2.89,2.75,,3.48,1.43
2018-10-01,2.91,3.1,2.19,2.64,3.93,2.99,2.78,,3.57,1.39
2019-01-01,2.27,2.59,2.19,2.71,3.99,2.65,2.52,,3.5,1.36
2019-04-01,2.76,3.0,2.22,2.38,3.97,2.75,2.59,,3.44,1.43
2019-07-01,2.76,3.06,2.21,2.46,3.87,2.71,2.58,,3.55,1.42
2019-10-01,2.68,2.97,2.2,2.4,3.79,2.74,2.58,,3.65,1.37
2020-01-01,2.59,2.96,2.18,2.47,3.82,2.71,2.6,,3.65,1.35
2020-04-01,1.91,2.28,2.19,2.43,3.74,2.33,2.13,,3.44,1.42
2020-07-01,2.22,2.58,2.15,2.4,3.75,2.2,2.11,,3.08,1.4
2020-10-01,2.18,2.54,2.18,2.42,3.74,2.13,2.06,,3.26,1.44
2021-01-01,2.32,2.65,2.19,2.45,3.9,2.35,2.18,,3.11,1.33
2021-04-01,2.82,3.12,2.19,2.39,4.01,2.77,2.53,,3.49,1.42
2021-07-01,3.09,3.4,2.22,2.54,4.08,2.9,2.74,,3.56,1.4
2021-10-01,3.25,3.55,2.33,2.45,4.34,3.1,2.96,,3.73,1.4
2022-01-01,3.28,3.87,2.49,2.69,4.69,3.22,3.08,,3.88,1.34
2022-04-01,4.13,4.6,2.59,2.82,4.83,4.5,4.16,,4.96,1.41
2022-07-01,4.7,5.1,2.76,3.15,5.19,5.02,4.8,,5.48,1.48
